"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Pak Mohon nanti jangan lupa untuk mengisi nilai kami diportal jangan sampai kejadian KK kemarin terulang lagi","55027","141","90001859","20162","3","3","2","3","3","2","1","2","2","2","195"
"Ketepatan waktu masuk saat perkuliahan","55030","141","90001859","20162","3","3","3","2","3","3","4","3","4","3","195"
"semangat","55037","128","90001900","20162","4","4","4","4","4","4","4","4","4","4","195"
"Mantap","55038","128","90001900","20162","4","4","4","4","4","4","4","4","4","4","195"
"Dosen yang mengerti mahasiswa","55039","128","90001900","20162","4","4","4","4","4","4","4","4","4","4","195"
"Dosen paling asik dosen idaman","55040","128","90001900","20162","4","4","4","4","4","4","4","4","4","4","195"
"good job","55043","128","90001900","20162","3","3","4","3","3","3","3","4","4","3","195"
"good","55045","128","90001900","20162","4","4","4","4","4","4","4","4","4","4","195"
"-mantap pak","55058","128","90001900","20162","4","4","4","4","4","1","4","4","4","4","195"
"Tingkatkan cara belajar mengajarnya bu","55069","329","90001903","20162","4","4","4","4","4","4","4","4","4","4","311"
"Jangan malu-malu bu","55073","352","90002256","20162","3","4","4","4","4","4","4","3","4","4","195"
"Mantap bu","55082","352","90002256","20162","3","4","3","3","3","2","4","3","3","3","195"
"Mantap","55099","352","90002256","20162","4","4","4","4","4","4","4","4","4","4","195"
"-sukses selalu bu","55111","352","90002256","20162","4","4","4","4","4","3","4","4","4","4","195"
"sehat terus buk","55113","352","90002256","20162","3","3","3","3","4","4","4","4","4","4","195"
"Terlalu banyak tugas presentasi","55116","352","90002256","20162","3","3","2","3","3","2","3","2","2","3","195"
"Sukses selalu bu","55129","352","90002256","20162","3","4","3","3","4","4","4","3","4","4","195"
"Tetap Semangat Dan Istiqomah","55136","237","90002258","20162","4","4","4","4","4","4","4","3","3","3","199"
"Bu, Kalau menjelaskan baiknya diperjelas, makasih","55145","237","90002258","20162","2","3","2","3","3","1","2","1","3","2","199"
"Materinya kurang jelas, mahasiswa tidak mengerti materi bahasanya terlalu tinggi","55160","237","90002258","20162","3","3","2","1","2","2","2","1","2","1","199"
"Sulit dipahami","55162","237","90002258","20162","3","3","3","3","3","1","2","2","3","3","199"
"Diperjelas lagi cara mengajarnya, mahasiswa kurang paham atas apa yang disampaikan","55164","237","90002258","20162","3","3","2","2","3","2","3","2","2","2","199"
"Suaranya yang lantang ya bu, suka ngantuk pelajaran ibu","55188","237","90002258","20162","3","3","1","3","3","1","3","1","1","2","199"
"exellent","55218","175","90002238","20162","4","4","4","4","4","4","4","4","4","4","198"
"mengubah cara penyampaian materi saat di dala kelas.","55219","175","90002238","20162","4","4","2","3","3","1","3","2","2","3","198"
"beri contoh-contoh di indutri pak.","55220","175","90002238","20162","3","3","3","3","3","3","3","3","3","3","198"
"tingkatkan prestasinya.","55221","175","90002238","20162","3","3","4","3","4","3","3","3","4","3","198"
"good job","55222","175","90002238","20162","4","4","4","4","4","4","4","4","3","4","198"
"mengubah cara/metode mengajar.","55223","175","90002238","20162","4","4","2","3","2","3","2","2","2","2","198"
"mohon untuk menjelaskan contoh soal dengan detail.","55224","175","90002238","20162","3","3","2","2","3","1","2","2","2","3","198"
"mungkin bisa mencoba metode lain dalam menjelaskan materi.","55225","175","90002238","20162","3","3","2","3","3","2","2","2","2","3","198"
"cara menyampaikan materi agar lebih diperbaiki, perkaya contoh soal agar lebih mudah dipahami.","55226","175","90002238","20162","3","2","2","3","3","1","4","2","3","3","198"
"memberikan contoh-contoh soal dengan di tulis.","55227","175","90002238","20162","3","4","4","4","3","3","4","3","3","3","198"
"memberikan contoh-contoh soal sambil ditulis dipanan tulis supaya mhs lebih paham.","55228","175","90002238","20162","4","3","2","3","3","2","3","2","2","3","198"
"cara mengajar harus lebih mudah untuk dipahami mhs, adanya contoh soal yg dibahas secara rinci.","55229","175","90002238","20162","4","3","2","3","3","2","2","2","2","3","198"
"dosen terbaik","55248","306","90001886","20162","4","4","4","4","4","4","4","4","4","4","198"
"Good Job","55280","129","90002116","20162","4","4","4","4","4","4","4","4","4","4","199"
"Bagus Pak, Lanjutkan","55281","129","90002116","20162","4","4","4","4","4","4","4","4","4","4","199"
"Joss","55287","129","90002116","20162","4","4","4","4","4","4","4","4","4","4","199"
"Pak Anton memang oke oce ... penjelasannya mantab jiwa ...","55289","129","90002116","20162","4","4","4","4","4","4","4","4","4","4","199"
"Jika memberikan contoh soal tolong sesuai dengan materi","55313","315","90002260","20162","3","2","2","3","3","1","4","3","2","2","199"
"Bu, penjelasannya kurang dimengerti, saat memberikan contoh soal bobot contoh soal tidak sama seperti tugas, sehingga tugas terasa susah","55315","315","90002260","20162","2","3","2","3","3","1","3","1","3","2","199"
"Pertahankan","55337","329","90001903","20162","3","3","3","4","3","3","3","3","3","3","311"
"Dosen terbaik itu yang dapat memberikan semangat kepada anak didiknya.","55355","294","90001869","20162","4","4","4","4","4","3","3","4","4","4","193"
"Teruskan.","55361","294","90001869","20162","3","4","4","4","3","3","3","4","3","3","193"
"Memberikan contoh dan materi dengan detail.","55366","294","90001869","20162","3","3","4","4","3","4","3","3","3","3","193"
"Terima kasih.","55368","294","90001869","20162","3","3","3","3","3","3","3","3","3","3","193"
"Lanjutkan cara mengajar Bapak.","55403","219","90002060","20162","3","3","3","3","3","3","3","3","3","3","193"
"Good job.","55404","219","90002060","20162","4","4","4","4","4","4","4","4","4","4","193"
"Terlalu banyak presentasi, jadi kurang efektif.","55407","219","90002060","20162","2","2","2","2","2","2","2","2","2","2","193"
"Tingkatkan cara menyampaikan materi.","55419","219","90002060","20162","4","3","3","4","2","3","1","4","2","3","193"
"Masuknya jangan sering telat pak.","55422","219","90002060","20162","4","4","4","4","3","1","2","3","2","3","193"
"Semoga dapat menguasai kelas lebih baik.","55425","219","90002060","20162","4","3","3","1","3","1","3","2","3","3","193"
"Semangat!!","55432","351","90002244","20162","3","3","3","3","3","3","3","3","3","3","193"
"Mantap!","55433","351","90002244","20162","4","4","4","4","4","4","4","4","4","4","193"
"Terlalu banyak mengatur.","55442","351","90002244","20162","3","3","4","4","4","4","4","4","4","4","193"
"Lebih diperjelas lagi ketika menerangkan.","55443","351","90002244","20162","3","3","3","3","4","2","3","3","3","3","193"
"Jadi lebih baik","55444","351","90002244","20162","3","2","2","3","3","3","3","2","2","2","193"
"Cara mengajarnya terlalu cepat, kalau bisa jangan terlalu cepat.","55446","351","90002244","20162","3","4","3","3","3","3","3","3","3","3","193"
"terlalu banyak tugas","55502","341","90002188","20162","2","2","2","3","2","2","2","2","2","2","289"
"usahakan menjelaskan secara rinci","55503","341","90002188","20162","3","3","3","3","4","2","3","3","3","3","289"
"terlalu banyak tugas","55516","341","90002188","20162","2","2","2","2","2","2","2","3","2","2","289"
"kurangi tugasnya pak","55518","341","90002188","20162","3","4","3","4","4","4","4","3","4","3","289"
"nilainya jangan terlalu pelit","55519","341","90002188","20162","4","3","3","3","4","4","3","3","3","3","289"
